category,product,expiry,status,total,main_store,dr_ahmad,dr_saly,dr_niveen,dr_sassani
BOTOX,Dysport 500 Units,May-28,OK,75,0,73,2,0,0
BOTOX,Allergan Botox 100 Units,Jan-27,Expiring ≤6 months,0,0,0,0,0,0
BOTOX,Botulax 200 Units,Apr-28,OK,0,0,0,0,0,0
BOTOX,Relfydess 100 Units,,No date,0,0,0,0,0,0
BOTOX,Nabota 100 Units,Dec-28,OK,17,10,0,7,0,0
BOTOX,Xeomin 100 Units,Jan-27,Expiring ≤6 months,4,0,4,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Restylane Vital 1 mL,Dec-26,Expiring ≤6 months,55,40,15,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Restylane Vital Light 1 mL,Dec-26,Expiring ≤6 months,61,41,15,5,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Juvederm Volite (2 × 1 mL),Aug-27,OK,38,30,7.5,0.5,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Novacutan BioPro 2 mL,Feb-28,OK,0,0,0,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",RRS Long Lasting 3 mL,Sep-28,OK,17,2,0,15,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Jalupro Superhydro 2.5 mL,Mar-27,OK,6,2,4,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Neauvia HydroDeluxe (2 × 2.5 mL),Jul-26,Expired,0,0,0,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Protuleep (5 mL vial × 5),Apr-29,OK,19,10,0,9,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Redensity 1 — 3 mL,,No date,0,0,0,0,0,0
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Virtue Aura 3 mL,May-28,OK,133,115,0,18,0,0
